$Well : 150
DEPTH      GR         CALI       NPHI       RHOB       LLS        LLD        DT         PayFlag    PERM_core  PHI_core   PHIE       ResFlag    SW_core    SW         VCL_core   VWCL       
M          GAPI       IN         V/V        G/C3       OHMM       OHMM       us/f                                        Dec                              Dec                   Dec        
$Format : 11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
3291.7972  89.3104    12.1678    0.1709     2.4719     4.2923     4.3466     80.1961    0.0000     -999.0000  -999.0000  0.1260     0.0000     -999.0000  0.7765     -999.0000  0.1981     
3291.9496  90.2082    12.1620    0.1729     2.4617     4.1599     4.1788     80.1146    0.0000     -999.0000  -999.0000  0.1309     0.0000     -999.0000  0.7520     -999.0000  0.2119     
3292.1020  91.6781    12.1713    0.1817     2.4514     4.0470     4.0487     80.0879    0.0000     -999.0000  -999.0000  0.1357     0.0000     -999.0000  0.7317     -999.0000  0.2203     
3292.2544  92.0163    12.1700    0.1791     2.4474     4.0403     4.0272     79.7603    0.0000     -999.0000  -999.0000  0.1357     0.0000     -999.0000  0.7362     -999.0000  0.2056     
3292.4068  88.3315    12.1678    0.1814     2.4444     4.0681     4.0531     79.4289    0.0000     -999.0000  -999.0000  0.1406     0.0000     -999.0000  0.7180     -999.0000  0.1789     
3292.5592  87.6777    12.1678    0.1771     2.4451     4.1431     4.1263     79.1671    0.0000     -999.0000  -999.0000  0.1365     0.0000     -999.0000  0.7284     -999.0000  0.1844     
3292.7116  86.8087    12.1620    0.1766     2.4496     4.2561     4.2120     78.8420    0.0000     -999.0000  -999.0000  0.1348     0.0000     -999.0000  0.7394     -999.0000  0.1791     
3292.8640  91.3836    12.1656    0.1687     2.4626     4.1371     4.0565     78.9240    0.0000     -999.0000  -999.0000  0.1214     0.0000     -999.0000  0.8041     -999.0000  0.2115     
3293.0164  95.2636    12.1620    0.1575     2.4794     5.1806     5.1342     78.8693    0.0000     -999.0000  -999.0000  0.1120     0.0000     -999.0000  0.7334     -999.0000  0.2110     
3293.1688  100.2104   12.1771    0.1535     2.4892     5.8173     5.7731     78.7639    0.0000     -999.0000  -999.0000  0.1099     0.0000     -999.0000  0.7277     -999.0000  0.2151     
3293.3212  104.2619   12.1896    0.1539     2.4830     5.9336     5.8936     78.6049    0.0000     -999.0000  -999.0000  0.1155     0.0000     -999.0000  0.6927     -999.0000  0.2045     
3293.4736  104.6768   12.2148    0.1617     2.4748     5.9544     5.9165     78.3513    0.0000     -999.0000  -999.0000  0.1188     0.0000     -999.0000  0.6625     -999.0000  0.2210     
3293.6260  106.2637   12.2123    0.1637     2.4773     5.9564     5.9200     77.3126    0.0000     -999.0000  -999.0000  0.1148     0.0000     -999.0000  0.6768     -999.0000  0.2390     
3293.7784  102.9982   12.2308    0.1736     2.4927     5.9339     5.8931     76.2638    0.0000     -999.0000  -999.0000  0.1058     0.0000     -999.0000  0.7306     -999.0000  0.2989     
3293.9308  100.0612   12.2456    0.1662     2.5194     4.7875     4.8959     75.5901    0.0000     -999.0000  -999.0000  0.0918     0.0000     -999.0000  0.9171     -999.0000  0.2710     
3294.0832  91.7263    12.2651    0.1490     2.5586     8.6708     8.6951     74.2311    0.0000     -999.0000  -999.0000  0.0788     0.0000     -999.0000  0.6869     -999.0000  0.1824     
3294.2356  83.4987    12.2546    0.1134     2.6007     20.2093    20.8623    73.3651    0.0000     -999.0000  -999.0000  0.0566     0.0000     -999.0000  0.6663     -999.0000  0.1291     
3294.3880  80.8191    12.2420    0.0870     2.6274     22.4155    23.1517    72.4038    0.0000     -999.0000  -999.0000  0.0417     0.0000     -999.0000  0.9339     -999.0000  0.1345     
3294.5404  86.5803    12.2168    0.0752     2.6264     21.3823    22.0235    71.5229    0.0000     -999.0000  -999.0000  0.0343     0.0000     -999.0000  0.9523     -999.0000  0.2013     
3294.6928  99.2826    12.2193    0.0900     2.6033     21.1766    21.8011    71.4927    0.0000     -999.0000  -999.0000  0.0513     0.0000     -999.0000  0.6801     -999.0000  0.2374     
3294.8452  107.9114   12.2123    0.1189     2.5673     18.1662    18.5247    71.8727    0.0000     -999.0000  -999.0000  0.0746     0.0000     -999.0000  0.5777     -999.0000  0.2612     
3294.9976  112.4539   12.2136    0.1456     2.5382     9.1238     9.0790     72.5308    0.0000     -999.0000  -999.0000  0.0889     0.0000     -999.0000  0.8777     -999.0000  0.2909     
3295.1500  111.4734   12.2273    0.1604     2.5310     5.0711     4.8586     73.4085    0.0000     -999.0000  -999.0000  0.0890     0.0000     -999.0000  0.9849     -999.0000  0.3179     
3295.3024  113.0510   12.2491    0.1585     2.5412     5.0162     4.7541     73.6422    0.0000     -999.0000  -999.0000  0.0810     0.0000     -999.0000  1.0000     -999.0000  0.3198     
3295.4548  117.8664   12.2731    0.1498     2.5515     5.6560     5.3572     73.9133    0.0000     -999.0000  -999.0000  0.0750     0.0000     -999.0000  1.0000     -999.0000  0.3070     
3295.6072  122.6563   12.2914    0.1391     2.5611     5.9678     5.6442     74.5150    0.0000     -999.0000  -999.0000  0.0683     0.0000     -999.0000  1.0000     -999.0000  0.2956     
3295.7596  127.2136   12.2959    0.1344     2.5711     6.0295     5.6963     74.9391    0.0000     -999.0000  -999.0000  0.0630     0.0000     -999.0000  1.0000     -999.0000  0.3148     
3295.9120  132.4411   12.2844    0.1434     2.5823     6.0465     5.7062     75.3283    0.0000     -999.0000  -999.0000  0.0590     0.0000     -999.0000  1.0000     -999.0000  0.3679     
3296.0644  134.0726   12.2741    0.1503     2.5893     6.0760     5.7415     75.9986    0.0000     -999.0000  -999.0000  0.0580     0.0000     -999.0000  1.0000     -999.0000  0.3845     
3296.2168  132.0013   12.2834    0.1532     2.5845     6.0376     5.6924     76.1567    0.0000     -999.0000  -999.0000  0.0637     0.0000     -999.0000  1.0000     -999.0000  0.3736     
3296.3692  124.9169   12.2562    0.1552     2.5701     6.0558     5.7117     76.2813    0.0000     -999.0000  -999.0000  0.0732     0.0000     -999.0000  0.9795     -999.0000  0.3495     
3296.5216  118.1918   12.2294    0.1580     2.5494     6.2140     5.8997     76.3108    0.0000     -999.0000  -999.0000  0.0851     0.0000     -999.0000  0.8602     -999.0000  0.3212     
3296.6740  109.6803   12.2296    0.1624     2.5280     6.2814     5.9889     76.1779    0.0000     -999.0000  -999.0000  0.0935     0.0000     -999.0000  0.7946     -999.0000  0.2944     
3296.8264  98.7311    12.1973    0.1499     2.5294     6.2758     5.9955     75.2090    0.0000     -999.0000  -999.0000  0.0851     0.0000     -999.0000  0.8947     -999.0000  0.2337     
3296.9788  86.4395    12.1896    0.1132     2.5601     6.2050     5.9360     72.8758    0.0000     -999.0000  -999.0000  0.0642     0.0000     -999.0000  1.0000     -999.0000  0.1322     
3297.1312  77.5937    12.2378    0.0708     2.6076     4.9462     4.8672     70.6080    0.0000     -999.0000  -999.0000  0.0397     0.0000     -999.0000  1.0000     -999.0000  0.0728     
3297.2836  72.4408    12.2299    0.0410     2.6298     12.0505    11.8275    70.6844    0.0000     -999.0000  -999.0000  0.0334     0.0000     -999.0000  0.9597     -999.0000  0.0443     
3297.4360  72.4709    12.2025    0.0448     2.6010     24.8356    26.8280    71.1576    0.0000     -999.0000  -999.0000  0.0552     0.0000     -999.0000  0.7230     -999.0000  0.0596     
3297.5884  74.4068    12.1699    0.0820     2.5352     18.5799    20.6171    71.6308    0.0000     -999.0000  -999.0000  0.0958     0.0000     -999.0000  0.5551     -999.0000  0.0823     
3297.7408  80.2043    12.1483    0.1262     2.4762     9.8282     10.8593    72.3575    0.0000     -999.0000  -999.0000  0.1249     0.0000     -999.0000  0.5686     -999.0000  0.1249     
3297.8932  81.9295    12.1438    0.1587     2.4424     5.7990     6.3172     74.3135    0.0000     -999.0000  -999.0000  0.1411     0.0000     -999.0000  0.6463     -999.0000  0.1359     
